,Period,data,Fouler_team,Fouler,Foulee,Review,Date,game_id,,Score,Soup,Time,Comment,Foul,Away_team,Home_team,Score_label
162,Q4,01:39.0 Foul: Offensive,Pistons,Boban Marjanovic,Stephen Zimmerman,CNC,0017-04-12,21601217,,Magic113_Pistons109,Q4 01:39.0 Foul: Offensive Boban Marjanovic Stephen Zimmerman CNC 0017-04-12 Magic113_Pistons109 Q4 01:39.0 Foul: Offensive Boban Marjanovic Stephen Zimmerman CNC 0017-04-12 Magic113_Pistons109 Q4 01:39.0 Foul: Offensive Boban Marjanovic Stephen Zimmerman CNC 0017-04-12 Magic113_Pistons109  01:39.0 Marjanovic (DET) makes incidental contact with Zimmerman (ORL) that does not affect his ability to defend the play.  01:39.0 Marjanovic (DET) makes incidental contact with Zimmerman (ORL) that does not affect his ability to defend the play. ,01:39.0,Marjanovic (DET) makes incidental contact with Zimmerman (ORL) that does not affect his ability to defend the play.,Offensive,Magic,Pistons,Magic113_Pistons109
163,Q4,01:32.0 Foul: Shooting,Magic,Patricio Garino,Tobias Harris,CC,0017-04-12,21601217,,Magic113_Pistons109,Q4 01:32.0 Foul: Shooting Patricio Garino Tobias Harris CC 0017-04-12 Magic113_Pistons109 Q4 01:32.0 Foul: Shooting Patricio Garino Tobias Harris CC 0017-04-12 Magic113_Pistons109 Q4 01:32.0 Foul: Shooting Patricio Garino Tobias Harris CC 0017-04-12 Magic113_Pistons109  01:32.0 Garino (ORL) makes contact to Harris' (DET) arm that affects his driving shot attempt.  01:32.0 Garino (ORL) makes contact to Harris' (DET) arm that affects his driving shot attempt. ,01:32.0,Garino (ORL) makes contact to Harris' (DET) arm that affects his driving shot attempt.,Shooting,Magic,Pistons,Magic113_Pistons109
164,Q4,01:23.0 Foul: Shooting,Magic,Stephen Zimmerman,Boban Marjanovic,CC,0017-04-12,21601217,,Magic113_Pistons109,Q4 01:23.0 Foul: Shooting Stephen Zimmerman Boban Marjanovic CC 0017-04-12 Magic113_Pistons109 Q4 01:23.0 Foul: Shooting Stephen Zimmerman Boban Marjanovic CC 0017-04-12 Magic113_Pistons109 Q4 01:23.0 Foul: Shooting Stephen Zimmerman Boban Marjanovic CC 0017-04-12 Magic113_Pistons109  01:23.0 Zimmerman (ORL) makes contact to Marjanovic's (DET) arm that affects his shot attempt.  01:23.0 Zimmerman (ORL) makes contact to Marjanovic's (DET) arm that affects his shot attempt. ,01:23.0,Zimmerman (ORL) makes contact to Marjanovic's (DET) arm that affects his shot attempt.,Shooting,Magic,Pistons,Magic113_Pistons109
165,Q4,01:15.0 Foul: Offensive,Magic,Stephen Zimmerman,Ish Smith,INC,0017-04-12,21601217,,Magic113_Pistons109,Q4 01:15.0 Foul: Offensive Stephen Zimmerman Ish Smith INC 0017-04-12 Magic113_Pistons109 Q4 01:15.0 Foul: Offensive Stephen Zimmerman Ish Smith INC 0017-04-12 Magic113_Pistons109 Q4 01:15.0 Foul: Offensive Stephen Zimmerman Ish Smith INC 0017-04-12 Magic113_Pistons109  01:15.0 Zimmerman (ORL) sets the screen on Smith (DET) without giving him room to avoid the contact.  01:15.0 Zimmerman (ORL) sets the screen on Smith (DET) without giving him room to avoid the contact. ,01:15.0,Zimmerman (ORL) sets the screen on Smith (DET) without giving him room to avoid the contact.,Offensive,Magic,Pistons,Magic113_Pistons109
166,Q4,00:20.2 Foul: Offensive,Magic,Elfrid Payton,Ish Smith,CNC,0017-04-12,21601217,,Magic113_Pistons109,Q4 00:20.2 Foul: Offensive Elfrid Payton Ish Smith CNC 0017-04-12 Magic113_Pistons109 Q4 00:20.2 Foul: Offensive Elfrid Payton Ish Smith CNC 0017-04-12 Magic113_Pistons109 Q4 00:20.2 Foul: Offensive Elfrid Payton Ish Smith CNC 0017-04-12 Magic113_Pistons109  00:20.2 Payton (ORL) makes incidental contact with Smith (DET) that does not affect his ability to defend the play.  00:20.2 Payton (ORL) makes incidental contact with Smith (DET) that does not affect his ability to defend the play. ,00:20.2,Payton (ORL) makes incidental contact with Smith (DET) that does not affect his ability to defend the play.,Offensive,Magic,Pistons,Magic113_Pistons109
167,Q4,00:14.7 Foul: Shooting,Magic,Elfrid Payton,Reggie Bullock,CNC,0017-04-12,21601217,,Magic113_Pistons109,Q4 00:14.7 Foul: Shooting Elfrid Payton Reggie Bullock CNC 0017-04-12 Magic113_Pistons109 Q4 00:14.7 Foul: Shooting Elfrid Payton Reggie Bullock CNC 0017-04-12 Magic113_Pistons109 Q4 00:14.7 Foul: Shooting Elfrid Payton Reggie Bullock CNC 0017-04-12 Magic113_Pistons109  00:14.7 Payton (ORL) legally contests Bullock's (DET) jump shot attempt.  00:14.7 Payton (ORL) legally contests Bullock's (DET) jump shot attempt. ,00:14.7,Payton (ORL) legally contests Bullock's (DET) jump shot attempt.,Shooting,Magic,Pistons,Magic113_Pistons109
168,Q4,00:09.1 Foul: Shooting,Magic,Elfrid Payton,Ish Smith,CNC,0017-04-12,21601217,,Magic113_Pistons109,Q4 00:09.1 Foul: Shooting Elfrid Payton Ish Smith CNC 0017-04-12 Magic113_Pistons109 Q4 00:09.1 Foul: Shooting Elfrid Payton Ish Smith CNC 0017-04-12 Magic113_Pistons109 Q4 00:09.1 Foul: Shooting Elfrid Payton Ish Smith CNC 0017-04-12 Magic113_Pistons109  00:09.1 nan  00:09.1 nan ,00:09.1,,Shooting,Magic,Pistons,Magic113_Pistons109
169,Q4,01:54.0 Foul: Shooting,Thunder,Victor Oladipo,Andrew Wiggins,INC,0017-04-11,21601213,,Thunder100_Timberwolves98,Q4 01:54.0 Foul: Shooting Victor Oladipo Andrew Wiggins INC 0017-04-11 Thunder100_Timberwolves98 Q4 01:54.0 Foul: Shooting Victor Oladipo Andrew Wiggins INC 0017-04-11 Thunder100_Timberwolves98 Q4 01:54.0 Foul: Shooting Victor Oladipo Andrew Wiggins INC 0017-04-11 Thunder100_Timberwolves98  01:54.0 Oladipo (OKC) makes contact with Wiggins' (MIN) wrist that affects his SQBR on the drive to the basket.  01:54.0 Oladipo (OKC) makes contact with Wiggins' (MIN) wrist that affects his SQBR on the drive to the basket. ,01:54.0,Oladipo (OKC) makes contact with Wiggins' (MIN) wrist that affects his SQBR on the drive to the basket.,Shooting,Thunder,Timberwolves,Thunder100_Timberwolves98
170,Q4,01:52.0 Foul: Offensive,Timberwolves,Gorgui Dieng,Jerami Grant,CNC,0017-04-11,21601213,,Thunder100_Timberwolves98,Q4 01:52.0 Foul: Offensive Gorgui Dieng Jerami Grant CNC 0017-04-11 Thunder100_Timberwolves98 Q4 01:52.0 Foul: Offensive Gorgui Dieng Jerami Grant CNC 0017-04-11 Thunder100_Timberwolves98 Q4 01:52.0 Foul: Offensive Gorgui Dieng Jerami Grant CNC 0017-04-11 Thunder100_Timberwolves98  01:52.0 Dieng (MIN) sets the screen on Grant (OKC) and gives him room to avoid the contact.  01:52.0 Dieng (MIN) sets the screen on Grant (OKC) and gives him room to avoid the contact. ,01:52.0,Dieng (MIN) sets the screen on Grant (OKC) and gives him room to avoid the contact.,Offensive,Thunder,Timberwolves,Thunder100_Timberwolves98
171,Q4,01:49.0 Foul: Offensive,Timberwolves,Andrew Wiggins,Jerami Grant,CNC,0017-04-11,21601213,,Thunder100_Timberwolves98,Q4 01:49.0 Foul: Offensive Andrew Wiggins Jerami Grant CNC 0017-04-11 Thunder100_Timberwolves98 Q4 01:49.0 Foul: Offensive Andrew Wiggins Jerami Grant CNC 0017-04-11 Thunder100_Timberwolves98 Q4 01:49.0 Foul: Offensive Andrew Wiggins Jerami Grant CNC 0017-04-11 Thunder100_Timberwolves98  01:49.0 Grant (OKC) is in a legal guarding position but the contact from Wiggins (MIN) is marginal.  01:49.0 Grant (OKC) is in a legal guarding position but the contact from Wiggins (MIN) is marginal. ,01:49.0,Grant (OKC) is in a legal guarding position but the contact from Wiggins (MIN) is marginal.,Offensive,Thunder,Timberwolves,Thunder100_Timberwolves98
172,Q4,01:22.0 Foul: Shooting,Thunder,Jerami Grant,Andrew Wiggins,CC,0017-04-11,21601213,,Thunder100_Timberwolves98,Q4 01:22.0 Foul: Shooting Jerami Grant Andrew Wiggins CC 0017-04-11 Thunder100_Timberwolves98 Q4 01:22.0 Foul: Shooting Jerami Grant Andrew Wiggins CC 0017-04-11 Thunder100_Timberwolves98 Q4 01:22.0 Foul: Shooting Jerami Grant Andrew Wiggins CC 0017-04-11 Thunder100_Timberwolves98  01:22.0 Grant (OKC) makes contact to Wiggins' (MIN) body that affects his driving shot attempt.  01:22.0 Grant (OKC) makes contact to Wiggins' (MIN) body that affects his driving shot attempt. ,01:22.0,Grant (OKC) makes contact to Wiggins' (MIN) body that affects his driving shot attempt.,Shooting,Thunder,Timberwolves,Thunder100_Timberwolves98
173,Q4,01:09.0 Foul: Shooting,Timberwolves,Gorgui Dieng,Norris Cole,CNC,0017-04-11,21601213,,Thunder100_Timberwolves98,Q4 01:09.0 Foul: Shooting Gorgui Dieng Norris Cole CNC 0017-04-11 Thunder100_Timberwolves98 Q4 01:09.0 Foul: Shooting Gorgui Dieng Norris Cole CNC 0017-04-11 Thunder100_Timberwolves98 Q4 01:09.0 Foul: Shooting Gorgui Dieng Norris Cole CNC 0017-04-11 Thunder100_Timberwolves98  01:09.0 Dieng (MIN) legally contests the driving shot attempt by Cole (OKC).  01:09.0 Dieng (MIN) legally contests the driving shot attempt by Cole (OKC). ,01:09.0,Dieng (MIN) legally contests the driving shot attempt by Cole (OKC).,Shooting,Thunder,Timberwolves,Thunder100_Timberwolves98
174,Q4,00:28.6 Foul: Shooting,Thunder,Steven Adams,Karl-Anthony Towns,CNC,0017-04-11,21601213,,Thunder100_Timberwolves98,Q4 00:28.6 Foul: Shooting Steven Adams Karl-Anthony Towns CNC 0017-04-11 Thunder100_Timberwolves98 Q4 00:28.6 Foul: Shooting Steven Adams Karl-Anthony Towns CNC 0017-04-11 Thunder100_Timberwolves98 Q4 00:28.6 Foul: Shooting Steven Adams Karl-Anthony Towns CNC 0017-04-11 Thunder100_Timberwolves98  00:28.6 Adams (OKC) jumps vertically and legally contests the driving shot attempt by Towns (MIN).  00:28.6 Adams (OKC) jumps vertically and legally contests the driving shot attempt by Towns (MIN). ,00:28.6,Adams (OKC) jumps vertically and legally contests the driving shot attempt by Towns (MIN).,Shooting,Thunder,Timberwolves,Thunder100_Timberwolves98
175,Q4,00:06.3 Foul: Offensive,Timberwolves,Gorgui Dieng,Jerami Grant,CNC,0017-04-11,21601213,,Thunder100_Timberwolves98,Q4 00:06.3 Foul: Offensive Gorgui Dieng Jerami Grant CNC 0017-04-11 Thunder100_Timberwolves98 Q4 00:06.3 Foul: Offensive Gorgui Dieng Jerami Grant CNC 0017-04-11 Thunder100_Timberwolves98 Q4 00:06.3 Foul: Offensive Gorgui Dieng Jerami Grant CNC 0017-04-11 Thunder100_Timberwolves98  00:06.3 Dieng (MIN) sets the screen on Grant (OKC) and gives him room to avoid the contact.  00:06.3 Dieng (MIN) sets the screen on Grant (OKC) and gives him room to avoid the contact. ,00:06.3,Dieng (MIN) sets the screen on Grant (OKC) and gives him room to avoid the contact.,Offensive,Thunder,Timberwolves,Thunder100_Timberwolves98
176,Q4,00:56.7 Foul: Offensive,Heat,Hassan Whiteside,Iman Shumpert,CNC,0017-04-10,21601205,,Heat124_Cavaliers121,Q4 00:56.7 Foul: Offensive Hassan Whiteside Iman Shumpert CNC 0017-04-10 Heat124_Cavaliers121(OT) Q4 00:56.7 Foul: Offensive Hassan Whiteside Iman Shumpert CNC 0017-04-10 Heat124_Cavaliers121(OT) Q4 00:56.7 Foul: Offensive Hassan Whiteside Iman Shumpert CNC 0017-04-10 Heat124_Cavaliers121(OT)  00:56.7 Whiteside (MIA) sets the screen on Shumpert (CLE) and gives him room to avoid the contact.  00:56.7 Whiteside (MIA) sets the screen on Shumpert (CLE) and gives him room to avoid the contact. ,00:56.7,Whiteside (MIA) sets the screen on Shumpert (CLE) and gives him room to avoid the contact.,Offensive,Heat,Cavaliers,Heat124_Cavaliers121
177,Q4,00:41.7 Foul: Shooting,Heat,Josh Richardson,Deron Williams,CNC,0017-04-10,21601205,,Heat124_Cavaliers121,Q4 00:41.7 Foul: Shooting Josh Richardson Deron Williams CNC 0017-04-10 Heat124_Cavaliers121(OT) Q4 00:41.7 Foul: Shooting Josh Richardson Deron Williams CNC 0017-04-10 Heat124_Cavaliers121(OT) Q4 00:41.7 Foul: Shooting Josh Richardson Deron Williams CNC 0017-04-10 Heat124_Cavaliers121(OT)  00:41.7 Richardson (MIA) legally contests Williams' (CLE) jump shot attempt and the contact after the release is considered incidental.  00:41.7 Richardson (MIA) legally contests Williams' (CLE) jump shot attempt and the contact after the release is considered incidental. ,00:41.7,Richardson (MIA) legally contests Williams' (CLE) jump shot attempt and the contact after the release is considered incidental.,Shooting,Heat,Cavaliers,Heat124_Cavaliers121
178,Q4,00:11.7 Foul: Offensive,Heat,James Johnson,Kyle Korver,CC,0017-04-10,21601205,,Heat124_Cavaliers121,Q4 00:11.7 Foul: Offensive James Johnson Kyle Korver CC 0017-04-10 Heat124_Cavaliers121(OT) Q4 00:11.7 Foul: Offensive James Johnson Kyle Korver CC 0017-04-10 Heat124_Cavaliers121(OT) Q4 00:11.7 Foul: Offensive James Johnson Kyle Korver CC 0017-04-10 Heat124_Cavaliers121(OT)  00:11.7 Johnson (MIA) pushes off Korver (CLE) and dislodges him from his legal guarding position.  00:11.7 Johnson (MIA) pushes off Korver (CLE) and dislodges him from his legal guarding position. ,00:11.7,Johnson (MIA) pushes off Korver (CLE) and dislodges him from his legal guarding position.,Offensive,Heat,Cavaliers,Heat124_Cavaliers121
179,Q5,01:59.0 Foul: Shooting,Cavaliers,Kevin Love,Hassan Whiteside,CC,0017-04-10,21601205,,Heat124_Cavaliers121,Q5 01:59.0 Foul: Shooting Kevin Love Hassan Whiteside CC 0017-04-10 Heat124_Cavaliers121(OT) Q5 01:59.0 Foul: Shooting Kevin Love Hassan Whiteside CC 0017-04-10 Heat124_Cavaliers121(OT) Q5 01:59.0 Foul: Shooting Kevin Love Hassan Whiteside CC 0017-04-10 Heat124_Cavaliers121(OT)  01:59.0 Love (CLE) makes contact to Whiteside's (MIA) arm that affects his shot attempt.  01:59.0 Love (CLE) makes contact to Whiteside's (MIA) arm that affects his shot attempt. ,01:59.0,Love (CLE) makes contact to Whiteside's (MIA) arm that affects his shot attempt.,Shooting,Heat,Cavaliers,Heat124_Cavaliers121
