GAME_ID,Home_score,Away_score,Score_label
21500001,94,106,Pistons106_Hawks94
21500002,97,95,Cavaliers95_Bulls97
21500003,111,95,Pelicans95_Warriors111
21500004,87,88,Wizards88_Magic87
21500005,112,95,76ers95_Celtics112
21500006,100,115,Bulls115_Nets100
21500007,92,87,Jazz87_Pistons92
21500008,104,94,Hornets94_Heat104
21500009,106,99,Pacers99_Raptors106
21500010,85,105,Nuggets105_Rockets85
21500011,76,106,Cavaliers106_Grizzlies76
21500012,97,122,Knicks122_Bucks97
21500013,112,106,Spurs106_Thunder112
21500014,95,111,Mavericks111_Suns95
21500015,112,94,Pelicans94_TrailBlazers112
21500016,104,111,Clippers111_Kings104
21500017,111,112,Timberwolves112_Lakers111
21500018,103,112,Grizzlies112_Pacers103
21500019,101,112,Hawks112_Knicks101
21500020,104,88,Mavericks88_Clippers104
21500021,102,92,Heat92_Cavaliers102
21500022,136,139,Thunder139_Magic136
21500023,71,99,Jazz99_76ers71
21500024,103,113,Raptors113_Celtics103
21500025,98,94,Bulls94_Pistons98
21500026,97,94,Hornets94_Hawks97
21500027,113,118,Wizards118_Bucks113
21500028,102,75,Nets75_Spurs102
21500029,78,95,Timberwolves95_Nuggets78
21500030,92,112,Warriors112_Rockets92
21500031,132,114,Lakers114_Kings132
21500032,110,92,TrailBlazers92_Suns110
21500033,76,97,Jazz97_Pacers76
21500034,110,117,Knicks117_Wizards110
21500035,120,134,Warriors134_Pelicans120
21500036,101,91,Nets91_Grizzlies101
21500037,90,101,Suns101_TrailBlazers90
21500038,114,109,Kings109_Clippers114
21500039,92,94,Hawks94_Hornets92
21500040,87,95,Spurs95_Celtics87
21500041,109,89,Rockets89_Heat109
21500042,106,87,Bucks87_Raptors106
21500043,92,87,Magic87_Bulls92
21500044,117,93,Nuggets93_Thunder117
21500045,93,103,Mavericks103_Lakers93
21500046,100,107,Cavaliers107_76ers100
21500047,96,103,Bucks103_Nets96
21500048,84,94,Spurs94_Knicks84
21500049,110,105,Thunder105_Rockets110
21500050,101,106,TrailBlazers106_Timberwolves101
21500051,119,69,Grizzlies69_Warriors119
21500052,102,96,Suns96_Clippers102
21500053,130,105,Bulls105_Hornets130
21500054,82,94,Pacers94_Pistons82
